Schooljaar;Schoolcode;tSchool;Type data;Geslacht;Bouw;Leerjaar;Profiel;Aantal leerlingen;Aantal leerlingen vj;tAantal verhuizers;tAantal afstromers;tAantal overleden;Aantal bevorderd;Aantal geslaagd
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Profielcombinatie NTNG;26;;;;;26;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Profielcombinatie EMCM;15;;;;;13;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Techniek;8;26;;;;8;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Techniek;22;24;;;;22;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;9;12;;;;5;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;3;4;;0;;;2
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;8;9;;0;;;8
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;2;;1;0;;1;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Techniek;9;4;;0;;;9
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie NGEM;1;;;0;;;1
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;14;16;;0;;;14
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;3;3;;0;;;3
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NGCM;1;;;0;;;1
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;7;2;1;0;;6;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;19;10;;1;;;18
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;31;;;1;;30;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;3;10;;1;;;2
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;8;8;;1;;;6
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;20;30;;1;;;19
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;9;7;;1;;;7
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Economie en Maatschappij;17;33;;2;;15;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Economie en Maatschappij;17;13;;2;;;15
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;27;28;;2;;24;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;3;;54;72;;4;;46;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Economie en Maatschappij;20;29;;4;;15;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;3;;73;54;;4;;63;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;1;;73;69;;5;;68;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;2;;84;87;;7;;69;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;1;;72;81;;8;;62;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;2;;71;58;;9;;56;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;10;17;;;;10;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Techniek;22;8;;;;22;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;14;27;;;;13;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;25;6;;;;25;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NGCM;;1;;;;;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;12;7;;;;10;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;10;11;;;;10;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;15;3;;;;15;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;5;2;;;;5;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie NGEM;;1;;;;;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Economie en Maatschappij;15;17;;;;15;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;1;;;;;1;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Profielcombinatie EMCM;2;10;;;;2;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Profielcombinatie NTNG;;26;;;;;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;1;2;;;;1;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Profielcombinatie EMCM;2;15;;;;2;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Economie en Maatschappij;38;20;;;;37;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;;31;;;;;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Techniek;7;9;;0;;;7
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;9;8;;0;;;9
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;3;8;;0;;;3
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;7;3;;0;;;7
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;2;3;;0;;;2
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;4;9;;1;;;3
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;7;3;;1;;;5
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;17;14;;1;;;15
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;27;19;;1;;;25
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;17;16;;1;;15;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;13;4;;1;;12;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Techniek;19;22;;1;;18;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Economie en Maatschappij;11;17;;1;;;10
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;10;9;;2;;8;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;29;20;;2;;;27
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;1;;48;73;;2;;46;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;3;;60;54;1;2;;51;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;3;;77;73;1;3;;71;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;2;;75;71;;3;;70;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;1;;98;72;1;4;;93;
22-23;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;2;;70;84;;5;;62;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Profielcombinatie EMCM;;2;;;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;;10;;;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Profielcombinatie EMCM;;2;;;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Economie en Maatschappij;1;38;;1;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Techniek;1;19;;1;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;1;1;;1;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;1;;;1;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;1;10;;1;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;1;4;;1;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;1;14;;1;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;2;17;;2;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;2;2;;2;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;6;3;;6;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Economie en Maatschappij;7;11;;7;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;8;5;;8;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Techniek;9;7;;9;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;9;9;;9;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;10;7;;10;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;10;15;;10;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;11;17;;11;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;12;12;;12;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;13;25;;13;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;15;7;;15;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;15;13;;15;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;17;27;;17;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Techniek;18;22;;18;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;24;29;;24;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Economie en Maatschappij;37;15;;37;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;2;;48;75;;48;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;49;10;;49;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;3;;63;77;;63;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;1;;69;48;;69;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;71;1;;71;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;1;;75;98;;75;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;3;;76;60;;76;;;
23-24;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;2;;97;70;;97;;;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;14;;;;;13;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;5;Natuur en Techniek;16;;;;;16;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;10;;;;;10;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;16;;;;;16;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;29;;;;;29;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;10;;;;;10;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;9;;;;;9;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;4;Economie en Maatschappij;14;;;;;13;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;6;;;;;6;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;1;;;;;1;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;6;Natuur en Techniek;16;;;0;;;16
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;3;;;0;;;3
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;20;;;0;;;20
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;4;;;0;;;4
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;1;;;0;;;1
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NGEM;1;;;0;;;1
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;1;;;0;;;1
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;4;Natuur en Techniek;24;;1;1;;21;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;15;;;1;;;14
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;5;Economie en Maatschappij;18;;;1;;16;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;14;;;1;;;13
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;17;;;1;;;16
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;36;;;1;;33;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;33;;;1;;27;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;12;;;1;;11;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;22;;;2;;17;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;5;;;2;;3;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Onderbouw;1;;91;;;3;;87;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Onderbouw;3;;68;;1;3;;62;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;6;Economie en Maatschappij;13;;;3;;;10
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Onderbouw;1;;80;;2;4;;69;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Onderbouw;3;;68;;;5;;56;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Onderbouw;2;;74;;;6;;65;
18-19;13556-21AF-000;05. 13556-21AF-000;School;Man;Onderbouw;2;;73;;;6;;61;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;18;16;;;;18;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;6;10;;;;6;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;16;12;;;;15;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;28;36;;;;27;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;8;10;;;;8;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;7;6;;;;7;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NGEM;;1;;;;;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;16;9;;;;16;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;;1;;;;;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;;1;;;;;
19-20;13556-21AF-000;05. 13556-21AF-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;6;5;;;;6;
