Schooljaar;Schoolcode;tSchool;Type data;Geslacht;Bouw;Leerjaar;Profiel;Aantal leerlingen;Aantal leerlingen vj;tAantal verhuizers;tAantal afstromers;tAantal overleden;Aantal bevorderd;Aantal geslaagd
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Bovenbouw;6;Natuur en Techniek;8;5;;8;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;8;8;;8;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Bovenbouw;5;Natuur en Techniek;8;8;;8;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;9;7;;9;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;9;11;;9;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Bovenbouw;5;Profielcombinatie EMCM;13;15;;13;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;13;10;;13;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;18;25;;18;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Bovenbouw;5;Profielcombinatie NTNG;20;17;;20;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Bovenbouw;4;Profielcombinatie EMCM;24;15;;24;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Bovenbouw;4;Profielcombinatie EMCM;26;24;;26;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;26;19;;26;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Bovenbouw;5;Profielcombinatie EMCM;26;7;;26;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;36;28;;36;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Bovenbouw;4;Profielcombinatie NTNG;38;22;;38;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Bovenbouw;4;Profielcombinatie NTNG;41;40;;41;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Onderbouw;2;;55;70;;55;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Onderbouw;2;;63;74;;63;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Onderbouw;3;;65;66;;65;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Onderbouw;3;;67;69;;67;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Vrouw;Onderbouw;1;;75;57;;75;;;
23-24;33944-02DQ-000;16. 33944-02DQ-000;School;Man;Onderbouw;1;;96;60;;96;;;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;9;;;;;9;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;16;;;;;16;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;24;;;;;19;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Profielcombinatie NTNG;1;;;;;1;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Profielcombinatie NGCM;2;;;;;2;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Profielcombinatie NGEM;1;;;;;1;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;9;;;;;8;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;9;;;;;9;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;1;;;0;;;1
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;3;;;0;;;3
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Economie en Maatschappij;14;;;0;;;14
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;5;;;0;;;5
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Techniek;5;;1;0;;4;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;3;;;1;;;2
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;1;;85;;;1;;84;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Profielcombinatie EMCM;19;;;1;;17;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Profielcombinatie NTNG;45;;;1;;43;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;3;;77;;;1;;76;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;23;;;1;;20;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Techniek;29;;;1;;;27
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;11;;;1;;9;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Profielcombinatie EMCM;15;;;1;;14;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;21;;;1;;;19
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Economie en Maatschappij;14;;;1;;13;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Profielcombinatie NTNG;29;;;1;;28;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;2;;;1;;;1
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;3;;65;;;2;;62;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;19;;;2;;;16
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;8;;;3;;;5
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Techniek;27;;;3;;22;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;1;;73;;1;3;;66;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;23;;;3;;;18
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;14;;;3;;11;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;2;;66;;2;4;;59;
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;30;;;4;;;25
18-19;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;2;;74;;1;7;;63;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Profielcombinatie NTNG;;1;;;;;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;2;;;;;2;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;20;;;;;20;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;34;9;;;;34;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Profielcombinatie EMCM;;19;;;;;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Profielcombinatie NGCM;;2;;;;;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Techniek;41;27;;;;37;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;20;23;;;;19;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;10;;;;;9;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Economie en Maatschappij;11;14;;;;11;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Profielcombinatie NTNG;;29;;;;;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Profielcombinatie NTNG;;45;;;;;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Profielcombinatie NGEM;;1;;;;;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Profielcombinatie EMCM;;15;;;;;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Techniek;20;5;;;;20;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;9;21;;0;;;9
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;3;8;;0;;;3
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;4;19;;0;;;2
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;21;2;;0;;;20
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie NGCM;1;;;0;;;1
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Techniek;8;29;;0;;;8
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;26;1;;0;;;26
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Economie en Maatschappij;1;14;;0;;;1
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;9;5;;0;;;9
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;9;3;;0;;;9
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;9;9;;1;;6;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;8;30;;1;;;7
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;3;;64;65;;1;;62;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;10;11;;1;;9;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;12;16;;1;;11;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;13;3;;1;;;11
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;38;9;;1;;35;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;19;24;;1;;17;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;3;;59;77;;2;;55;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;17;14;;2;;15;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Economie en Maatschappij;19;;;2;;17;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;14;23;;2;;;12
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;2;;70;66;;2;;64;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;1;;71;85;;3;;68;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;1;;73;73;1;4;;68;
19-20;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;2;;90;74;;5;;83;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;10;;;;;9;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;12;12;;;;12;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;16;17;;;;14;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie NGCM;;1;;;;;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Techniek;25;20;;;;23;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;22;38;;;;19;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;14;2;;;;12;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;;20;;;;;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Economie en Maatschappij;;19;;;;;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Economie en Maatschappij;4;1;;0;;;4
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;31;21;;0;;;30
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;7;4;;0;;;7
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Techniek;11;8;;0;;;11
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;3;9;;0;;;3
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;1;3;;0;;;1
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;19;9;;0;;;18
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;10;9;;0;;;10
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;21;10;;1;;18;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;16;9;;1;;13;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;28;34;;1;;26;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;25;20;1;1;;23;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;14;26;;1;;;13
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Techniek;24;41;;1;;19;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;8;13;;1;;;7
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;29;19;;1;;25;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Economie en Maatschappij;12;11;;1;;10;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;12;10;;1;;10;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;3;;66;59;1;2;;61;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;9;8;;2;;;7
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;3;;84;64;;3;;79;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;12;14;;3;;;9
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;2;;71;90;;3;;65;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;1;;57;71;;5;;52;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;2;;72;70;;8;;55;
20-21;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;1;;89;73;;10;;77;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;14;25;;;;14;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Profielcombinatie EMCM;7;;;;;7;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;3;16;;;;3;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Economie en Maatschappij;1;12;;;;1;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;7;21;;;;7;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;1;10;;;;1;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;7;12;;;;6;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;;1;;;;;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Techniek;21;25;;;;19;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Economie en Maatschappij;;4;;;;;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;12;9;;0;;;10
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;14;12;;0;;;12
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;4;7;;0;;;4
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;19;14;;0;;;18
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;11;16;;1;;10;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;19;19;;1;;;14
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;9;3;;1;;;8
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;3;;67;84;;1;;63;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;1;;61;57;;1;;59;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;19;;;1;;18;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;1;14;;1;;;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Profielcombinatie EMCM;10;;1;1;;6;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;7;10;;1;;;6
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;4;12;;1;;3;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;22;31;;1;;;21
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;13;8;;1;;;12
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Techniek;9;11;;1;;;8
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;30;22;;1;;27;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Profielcombinatie NTNG;19;;;1;;18;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Techniek;10;24;;1;;9;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;24;;;2;;20;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;54;28;;2;;52;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;16;29;;2;;8;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Economie en Maatschappij;17;;;3;;13;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;3;;57;66;;3;;51;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;2;;89;72;;6;;76;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;2;;55;71;;8;;46;
21-22;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;1;;80;89;1;10;;67;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;4;4;;;;4;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;;22;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;;1;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Profielcombinatie NTNG;;19;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Profielcombinatie EMCM;;10;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Techniek;34;10;;;;31;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;17;16;;;;14;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Economie en Maatschappij;13;1;;;;12;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;;9;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;;19;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;17;11;;;;15;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Economie en Maatschappij;14;17;;;;14;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;;1;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;21;14;;;;18;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;;19;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Profielcombinatie EMCM;;7;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;;13;;;;;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;11;7;;;;10;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;23;4;;0;;;22
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Techniek;25;9;;0;;;25
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;18;12;;1;;;13
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;3;;49;67;2;1;;43;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;15;24;;1;;13;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;14;3;;1;;12;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Techniek;12;21;;1;;8;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;11;14;;2;;;7
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;9;;;2;;;5
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;29;7;;2;;26;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Economie en Maatschappij;8;;;2;;;6
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;39;54;;2;;37;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;3;7;;2;;;1
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;32;30;;3;;28;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;1;;57;61;;3;;53;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Onderbouw;2;;61;55;;3;;56;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;3;;78;57;;4;;70;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;15;19;;5;;;9
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;2;;74;89;;6;;63;
22-23;42510-20BV-000;17. 42510-20BV-000;School;Man;Onderbouw;1;;79;80;;6;;73;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;;32;;;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Economie en Maatschappij;;8;;;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;;39;;;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;2;9;;2;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;4;3;;4;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;4;17;;4;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;4;23;;4;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;5;4;;5;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;7;14;;7;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Natuur en Techniek;9;25;;9;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;10;15;;10;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;11;;;11;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;12;;;12;;;
23-24;42510-20BV-000;17. 42510-20BV-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;15;17;;15;;;
