tSchool;Schooljaar;slaagpct;examenkandidaten;geslaagden;ce_gem;se_gem;se_ce_verschil;ce_gem_duo;ce_grieks;ce_latijn;percentiel_slaag;percentiel_ce;percentiel_se;pct_wo;pct_hbo;pct_geen_bekostigd;totaal_gediplomeerden;leerlingen_totaal;leerlingen_groei_pct;pct_zittenblijvers;n_zittenblijvers;pct_afstromers;tevredenheid_ll;tevredenheid_ouders;sfeer;veiligheid;inspectie_oordeel;inspectie_obsnelheid_3jr;inspectie_bbsucces_3jr;inspectie_ce_3jr;inspectie_sece_3jr;inspectie_advies_3jr;leerling_leraar_ratio;fte_totaal;fte_onderwijzend;pct_schaal_lc;pct_schaal_ld;gem_loonsom_op;verzuimpct;meldfrequentie;brugjaar_bevorderd_pct;brugjaar_uitval_pct;n_examenvakken;has_grieks;has_latijn;n_deelnemers_grieks;n_deelnemers_latijn;klassieke_talen_deelname_pct;ses_woa;inkomen_gem_pctgrp;pct_inkomen_p80_100;vermogen_gem_pctgrp;welvaart_gem_pctgrp;pct_koopwoning;stedelijkheid;pct_migratie;pct_niet_westers;leefbaarheid;leefb_onveiligheid;leefb_sociaal;solvabiliteit;weerstandsvermogen;kapitalisatiefactor;eenpitter;pct_atheneum;gemengd;pct_meisjes;pct_natuur;afstroom_jongens;afstroom_meisjes
21. 13556-02DW-000;23-24;87,5;80;70;6,58;6,65;0,07;6,6;5,7;5,8;26,0;20,0;23,0;70,0;12,9;17,1;70;552;-0,5;6,5;36;1,4;7,1;8,8;8,3;9,7;voldoende;96,28;90,55;6,72;-0,08;7,17;;;;;;;4,3;1,5;0,0;100,0;17;1;1;27;59;107,5;0,2;56,4;23,4;61,8;59,7;71,5;3,6;15,3;6,8;4,188;0,068;0,041;64,1;31,4;35,8;0;0,0;0;44,7;61,5;100,0;100,0
21. 13556-02DW-000;24-25;85,1;101;86;6,74;6,65;-0,09;6,73;5,9;6,1;26,0;49,0;20,0;;;;;554;0,4;5,1;28;;;;;;voldoende;96,28;90,55;6,72;-0,08;7,17;;;;;;;;;;;17;1;1;35;72;105,9;0,2;56,4;23,4;61,8;59,7;71,5;3,6;15,3;6,8;4,188;0,068;0,041;64,1;31,4;35,8;0;0,0;0;42,8;63,3;0,0;0,0
22. 13556-20AJ-000;21-22;96,7;122;118;6,57;6,81;0,2;6,56;6,88;5,25;;;;64,4;3,4;31,4;118;755;;9,6;74;0,8;6,9;;8,3;9,5;voldoende;95,08;93,13;6,62;-0,02;-0,29;16,8;61,1;44,6;27,1;45,4;5113,0;3,7;2,6;93,7;6,3;21;1;1;42;84;103,3;0,2;57,5;28,0;56,2;57,9;63,1;3,1;20,5;10,6;4,145;0,027;0,014;64,1;31,4;35,8;0;0,0;0;54,2;50,9;4,9;4,6
22. 13556-20AJ-000;22-23;86,3;117;101;6,62;6,67;-0,02;6,65;6,32;5,78;;;;71,3;3,0;24,8;101;751;-0,5;5,5;42;0,8;6,7;;7,8;;voldoende;95,08;93,13;6,62;-0,02;-0,29;16,8;61,3;44,9;25,5;39,5;5511,0;3,1;1,7;87,2;12,8;21;1;1;40;80;102,6;0,2;57,5;28,0;56,2;57,9;63,1;3,1;20,5;10,6;4,145;0,027;0,014;64,1;31,4;35,8;0;0,0;0;52,1;48,3;6,7;5,6
22. 13556-20AJ-000;23-24;90,7;107;97;6,85;6,68;-0,18;6,85;6,7;6,3;50,0;56,0;37,0;69,1;6,2;23,7;97;752;0,1;8,5;64;0,9;6,7;8,6;;9,4;voldoende;95,08;93,13;6,62;-0,02;-0,29;;;;;;;2,1;1,5;0,0;100,0;17;1;1;32;78;102,8;0,2;57,5;28,0;56,2;57,9;63,1;3,1;20,5;10,6;4,145;0,027;0,014;64,1;31,4;35,8;0;0,0;0;50,3;51,8;100,0;100,0
22. 13556-20AJ-000;24-25;94,8;97;92;6,75;6,73;-0,02;6,75;6,5;6,3;77,0;54,0;42,0;;;;;763;1,5;8,5;65;1,4;;;;;voldoende;95,08;93,13;6,62;-0,02;-0,29;;;;;;;;;;;17;1;1;47;58;108,2;0,2;57,5;28,0;56,2;57,9;63,1;3,1;20,5;10,6;4,145;0,027;0,014;64,1;31,4;35,8;0;0,0;0;51,5;63,9;0,0;0,0
23. 13749-20DD-000;21-22;94,2;154;145;6,81;6,83;-0,07;6,84;6,51;6,59;;;;62,8;0,7;36,6;145;888;;4,1;5;0,0;;;;;geen oordeel;98,03;94,1;6,97;-0,16;;14,7;74,3;55,5;26,6;60,5;5522,0;6,5;3,4;92,1;7,9;22;1;1;62;94;101,3;;;;;;;;;;;;;23,4;9,4;40,3;1;0,0;0;49,7;70,9;5,1;4,1
23. 13749-20DD-000;22-23;97,9;144;141;6,97;6,86;-0,16;6,96;7,44;7,29;;;;63,8;0,0;36,2;141;816;-8,1;4,6;34;0,0;;;;;geen oordeel;98,03;94,1;6,97;-0,16;;16,6;67,1;50,6;35,5;58,4;6181,0;3,6;1,7;95,4;4,6;22;1;1;48;101;103,5;;;;;;;;;;;;;23,4;9,4;40,3;1;0,0;0;50,7;66,4;2,5;4,6
23. 13749-20DD-000;23-24;94,6;147;139;6,87;6,65;-0,22;6,89;6,9;7,4;85,0;65,0;30,0;57,6;1,4;40,3;139;838;2,7;0,0;0;0,0;6,7;8,1;7,7;9,1;geen oordeel;98,03;94,1;6,97;-0,16;;;;;;;;3,6;1,6;0,0;100,0;18;1;1;23;132;105,4;;;;;;;;;;;;;23,4;9,4;40,3;1;0,0;0;48,6;64,3;100,0;100,0
23. 13749-20DD-000;24-25;92,2;129;119;6,71;6,74;0,03;6,66;6,6;6,7;58,0;35,0;44,0;;;;;595;-29,0;12,4;23;;;;;;geen oordeel;98,03;94,1;6,97;-0,16;;;;;;;;;;;;18;1;1;23;114;106,2;;;;;;;;;;;;;23,4;9,4;40,3;1;0,0;0;50,9;60,9;0,0;0,0
