tSchool;Schooljaar;Profiel;Geslacht;Examenkandidaten;Geslaagden;Slaagpercentage
06. 42818-20QU-000;23-24;C&M;Vrouw;7;6;85.7
06. 42818-20QU-000;23-24;E&M;Vrouw;0;0;0.0
06. 42818-20QU-000;23-24;E&M/C&M;Man;18;15;83.3
06. 42818-20QU-000;23-24;E&M/C&M;Vrouw;8;7;87.5
06. 42818-20QU-000;23-24;N&G;Man;16;13;81.2
06. 42818-20QU-000;23-24;N&G;Vrouw;12;9;75.0
06. 42818-20QU-000;23-24;N&G/E&M;Man;0;0;0.0
06. 42818-20QU-000;23-24;N&G/E&M;Vrouw;0;0;0.0
06. 42818-20QU-000;23-24;N&T;Man;5;5;100.0
06. 42818-20QU-000;23-24;N&T/N&G;Man;6;6;100.0
06. 42818-20QU-000;23-24;N&T/N&G;Vrouw;14;13;92.9
06. 42818-20QU-000;24-25;C&M;Man;0;0;0.0
06. 42818-20QU-000;24-25;C&M;Vrouw;7;5;71.4
06. 42818-20QU-000;24-25;E&M;Man;5;;80.0
06. 42818-20QU-000;24-25;E&M;Vrouw;0;0;0.0
06. 42818-20QU-000;24-25;E&M/C&M;Man;13;12;92.3
06. 42818-20QU-000;24-25;E&M/C&M;Vrouw;10;10;100.0
06. 42818-20QU-000;24-25;N&G;Man;13;9;69.2
06. 42818-20QU-000;24-25;N&G;Vrouw;14;10;71.4
06. 42818-20QU-000;24-25;N&G/E&M;Man;0;0;0.0
06. 42818-20QU-000;24-25;N&G/E&M;Vrouw;0;0;0.0
06. 42818-20QU-000;24-25;N&T/N&G;Man;11;11;100.0
06. 42818-20QU-000;24-25;N&T/N&G;Vrouw;14;12;85.7
07. 13554-20RM-000;21-22;C&M;Vrouw;16;14;87.5
07. 13554-20RM-000;21-22;E&M;Vrouw;0;0;0.0
07. 13554-20RM-000;21-22;E&M/C&M;Man;18;16;88.9
07. 13554-20RM-000;21-22;E&M/C&M;Vrouw;13;13;100.0
07. 13554-20RM-000;21-22;N&G;Man;12;9;75.0
07. 13554-20RM-000;21-22;N&G;Vrouw;13;12;92.3
07. 13554-20RM-000;21-22;N&T;Man;7;6;85.7
07. 13554-20RM-000;21-22;N&T/E&M;Man;0;0;0.0
07. 13554-20RM-000;21-22;N&T/E&M;Vrouw;0;0;0.0
07. 13554-20RM-000;21-22;N&T/N&G;Man;20;18;90.0
07. 13554-20RM-000;21-22;N&T/N&G;Vrouw;31;30;96.8
07. 13554-20RM-000;22-23;C&M;Man;7;6;85.7
07. 13554-20RM-000;22-23;C&M;Vrouw;13;11;84.6
07. 13554-20RM-000;22-23;E&M;Vrouw;7;7;100.0
07. 13554-20RM-000;22-23;E&M/C&M;Man;11;8;72.7
07. 13554-20RM-000;22-23;E&M/C&M;Vrouw;12;10;83.3
07. 13554-20RM-000;22-23;N&G;Man;11;5;45.5
07. 13554-20RM-000;22-23;N&G;Vrouw;8;6;75.0
07. 13554-20RM-000;22-23;N&G/C&M;Man;0;0;0.0
07. 13554-20RM-000;22-23;N&G/C&M;Vrouw;0;0;0.0
07. 13554-20RM-000;22-23;N&T;Vrouw;0;0;0.0
07. 13554-20RM-000;22-23;N&T/E&M;Man;0;0;0.0
07. 13554-20RM-000;22-23;N&T/E&M;Vrouw;0;0;0.0
07. 13554-20RM-000;22-23;N&T/N&G;Man;32;29;90.6
07. 13554-20RM-000;22-23;N&T/N&G;Vrouw;34;27;79.4
07. 13554-20RM-000;23-24;C&M;Vrouw;10;10;100.0
07. 13554-20RM-000;23-24;E&M;Man;;0;0.0
07. 13554-20RM-000;23-24;E&M;Vrouw;0;0;0.0
07. 13554-20RM-000;23-24;E&M/C&M;Man;17;14;82.4
07. 13554-20RM-000;23-24;E&M/C&M;Vrouw;11;5;45.5
07. 13554-20RM-000;23-24;N&G;Vrouw;9;8;88.9
07. 13554-20RM-000;23-24;N&G/C&M;Man;0;0;0.0
07. 13554-20RM-000;23-24;N&G/C&M;Vrouw;0;0;0.0
07. 13554-20RM-000;23-24;N&T/E&M;Man;0;0;0.0
07. 13554-20RM-000;23-24;N&T/E&M;Vrouw;0;0;0.0
07. 13554-20RM-000;23-24;N&T/N&G;Man;30;25;83.3
07. 13554-20RM-000;23-24;N&T/N&G;Vrouw;35;32;91.4
07. 13554-20RM-000;24-25;C&M;Vrouw;12;11;91.7
07. 13554-20RM-000;24-25;E&M;Vrouw;0;0;0.0
07. 13554-20RM-000;24-25;E&M/C&M;Man;10;7;70.0
07. 13554-20RM-000;24-25;E&M/C&M;Vrouw;8;7;87.5
07. 13554-20RM-000;24-25;N&G;Man;8;7;87.5
07. 13554-20RM-000;24-25;N&G;Vrouw;11;8;72.7
07. 13554-20RM-000;24-25;N&G/C&M;Man;0;0;0.0
07. 13554-20RM-000;24-25;N&G/C&M;Vrouw;0;0;0.0
07. 13554-20RM-000;24-25;N&T;Man;7;6;85.7
07. 13554-20RM-000;24-25;N&T;Vrouw;0;0;0.0
07. 13554-20RM-000;24-25;N&T/E&M;Man;0;0;0.0
07. 13554-20RM-000;24-25;N&T/E&M;Vrouw;0;0;0.0
07. 13554-20RM-000;24-25;N&T/N&G;Man;30;26;86.7
07. 13554-20RM-000;24-25;N&T/N&G;Vrouw;21;18;85.7
08. 41211-02FY-007;21-22;C&M;Man;0;0;0.0
08. 41211-02FY-007;21-22;C&M;Man;0;0;0.0
08. 41211-02FY-007;21-22;C&M;Vrouw;6;6;100.0
08. 41211-02FY-007;21-22;C&M;Vrouw;0;0;0.0
08. 41211-02FY-007;21-22;E&M;Man;5;5;100.0
08. 41211-02FY-007;21-22;E&M;Man;0;0;0.0
08. 41211-02FY-007;21-22;E&M;Vrouw;0;0;0.0
08. 41211-02FY-007;21-22;E&M/C&M;Man;0;0;0.0
08. 41211-02FY-007;21-22;E&M/C&M;Man;0;0;0.0
08. 41211-02FY-007;21-22;E&M/C&M;Vrouw;0;0;0.0
08. 41211-02FY-007;21-22;N&G;Man;0;0;0.0
08. 41211-02FY-007;21-22;N&G;Vrouw;8;8;100.0
08. 41211-02FY-007;21-22;N&G;Vrouw;0;0;0.0
08. 41211-02FY-007;21-22;N&G/C&M;Man;0;0;0.0
08. 41211-02FY-007;21-22;N&G/C&M;Vrouw;0;0;0.0
08. 41211-02FY-007;21-22;N&T;Man;0;0;0.0
08. 41211-02FY-007;21-22;N&T;Vrouw;0;0;0.0
08. 41211-02FY-007;21-22;N&T/N&G;Man;5;5;100.0
08. 41211-02FY-007;21-22;N&T/N&G;Man;0;0;0.0
08. 41211-02FY-007;21-22;N&T/N&G;Vrouw;8;7;87.5
08. 41211-02FY-007;21-22;N&T/N&G;Vrouw;0;0;0.0
08. 41211-02FY-007;22-23;C&M;Man;0;0;0.0
08. 41211-02FY-007;22-23;C&M;Man;;0;0.0
08. 41211-02FY-007;22-23;C&M;Vrouw;0;0;0.0
08. 41211-02FY-007;22-23;E&M;Man;0;0;0.0
08. 41211-02FY-007;22-23;E&M;Vrouw;7;6;85.7
08. 41211-02FY-007;22-23;E&M;Vrouw;0;0;0.0
08. 41211-02FY-007;22-23;E&M/C&M;Vrouw;9;8;88.9
08. 41211-02FY-007;22-23;N&G;Man;5;;60.0
08. 41211-02FY-007;22-23;N&G;Man;5;5;100.0
08. 41211-02FY-007;22-23;N&G;Vrouw;7;;42.9
08. 41211-02FY-007;22-23;N&G;Vrouw;5;5;100.0
08. 41211-02FY-007;22-23;N&G/C&M;Man;0;0;0.0
08. 41211-02FY-007;22-23;N&T;Man;6;5;83.3
08. 41211-02FY-007;22-23;N&T;Man;0;0;0.0
08. 41211-02FY-007;22-23;N&T/N&G;Man;7;6;85.7
08. 41211-02FY-007;22-23;N&T/N&G;Man;13;13;100.0
08. 41211-02FY-007;22-23;N&T/N&G;Vrouw;7;;57.1
08. 41211-02FY-007;22-23;N&T/N&G;Vrouw;5;5;100.0
08. 41211-02FY-007;23-24;C&M;Man;0;0;0.0
08. 41211-02FY-007;23-24;E&M;Man;11;10;90.9
08. 41211-02FY-007;23-24;E&M;Vrouw;7;5;71.4
