Type data;tSchool;Vergelijkingsgroep;Advies nlln 21-22;Advies gem 21-22;Advies nlln 22-23;Advies gem 22-23;Advies nlln 23-24;Advies gem 23-24;Advies gem 3jr;Advies norm;Advies oordeel;Obsnelheid nlln 19-20;Obsnelheid gem 19-20;Obsnelheid nlln 21-22;Obsnelheid gem 21-22;Obsnelheid nlln 22-23;Obsnelheid gem 22-23;Obsnelheid gem 3jr;Obsnelheid norm;Obsnelheid norm na cor;Obsnelheid oordeel;Bbsucces nlln 19-20;Bbsucces gem 19-20;Bbsucces nlln 21-22;Bbsucces gem 21-22;Bbsucces nlln 22-23;Bbsucces gem 22-23;Bbsucces gem 3jr;Bbsucces norm;Bbsucces norm na cor;Bbsucces oordeel;CE nvak 20-21;CE gem 20-21;CE nvak 21-22;CE gem 21-22;CE nvak 22-23;CE gem 22-23;CE gem 3jr;CE norm;CE norm na cor;CE oordeel;SECE nvak 20-21;SECE gem 20-21;SECE nvak 21-22;SECE gem 21-22;SECE nvak 22-23;SECE gem 22-23;SECE gem 3jr;SECE norm1;SECE norm2;SECE oordeel;Berekend oordeel
School;22. 13556-20AJ-000;VWO;104;0,0;127;0,79;112;-1,79;-0,29;1,35;onder de norm;253;98,42;264;95,45;276;91,67;95,08;95,5;94,96;boven de norm;528;96,4;487;92,61;470;90,0;93,13;82,0;81,21;boven de norm;;;;;917;6,62;;6,3;;;;;;;917;-0,02;;1,0;0,5;;voldoende
School;17. 42510-20BV-000;VWO;126;1,59;129;4,65;125;0,0;2,11;1,35;boven de norm;303;97,03;284;94,72;269;96,65;96,14;95,5;94,93;boven de norm;531;94,16;528;89,39;510;87,45;90,38;82,0;81,24;boven de norm;;;;;817;6,48;;6,3;;;;;;;817;0,2;;1,0;0,5;;voldoende
School;38. 42623-20CF-000;nan;;;;;;;;;;;;;;;;;;;;457;91,47;443;90,29;436;90,37;90,72;82,0;81,74;boven de norm;;;;;802;6,79;;6,3;;;;;;;802;-0,25;;1,0;0,5;;geen oordeel
School;29. 41285-20CI-000;VWO;152;3,29;144;3,47;150;3,33;3,36;1,35;boven de norm;391;86,7;362;88,12;355;87,61;87,45;95,5;94,98;onder de norm;845;94,56;686;92,42;648;93,36;93,53;82,0;81,27;boven de norm;;;;;1315;6,89;;6,3;;;;;;;1315;0,08;;1,0;0,5;;voldoende
School;02. 41208-20CK-000;VWO;115;1,74;155;0,65;139;3,6;1,96;1,35;boven de norm;250;92,8;335;94,63;366;93,17;93,59;95,5;95,14;onder de norm;535;96,64;460;95,22;471;93,21;95,09;82,0;81,5;boven de norm;;;;;901;6,93;;6,3;;;;;;;901;-0,27;;1,0;0,5;;voldoende
School;33. 41568-20DC-000;VWO;97;6,19;93;15,05;76;-2,63;6,77;1,35;boven de norm;230;93,48;190;97,37;187;92,51;94,4;95,5;94,13;boven de norm;349;96,28;361;86,98;343;88,63;90,6;82,0;80,0;boven de norm;;;;;518;6,55;;6,3;;;;;;;518;0,25;;1,0;0,5;;voldoende
School;23. 13749-20DD-000;nan;;;;;;;;;;194;98,97;117;95,73;145;98,62;98,03;95,5;95,32;boven de norm;651;96,93;620;92,9;560;92,14;94,1;82,0;81,82;boven de norm;;;;;1125;6,97;;6,3;;;;;;;1125;-0,16;;1,0;0,5;;geen oordeel
School;37. 13556-20DG-000;VWO;104;2,88;103;3,88;101;0,0;2,27;1,35;boven de norm;205;94,63;242;91,32;218;90,37;92,03;95,5;95,19;onder de norm;406;91,13;363;90,36;345;91,3;90,93;82,0;81,57;boven de norm;;;;;602;6,87;;6,3;;;;;;;602;-0,13;;1,0;0,5;;voldoende
School;26. 13603-20DL-002;VWO;59;6,78;69;7,25;71;1,41;5,03;1,35;boven de norm;157;98,73;155;92,9;177;93,79;95,09;95,5;95,28;onder de norm;293;96,93;281;83,99;272;82,72;88,06;82,0;81,6;boven de norm;;;;;458;6,5;;6,3;;;;;;;458;0,44;;1,0;0,5;;voldoende
School;27. 42505-20DP-000;VWO;155;3,23;139;1,44;126;0,79;1,9;1,35;boven de norm;338;98,22;283;96,82;279;96,06;97,11;95,5;95,25;boven de norm;693;96,39;641;94,38;600;93,5;94,83;82,0;81,65;boven de norm;;;;;1406;6,78;;6,3;;;;;;;1406;0,07;;1,0;0,5;;voldoende
