tSchool;Schooljaar;ce_raw;ce_predicted;va_ce
18. 31240-02CR-000;23-24;6.93;6.9438;-0.0138
18. 31240-02CR-000;24-25;7.05;6.886;0.164
19. 13556-20QY-000;21-22;6.79;6.8076;-0.0176
19. 13556-20QY-000;22-23;7.01;7.0037;0.0063
19. 13556-20QY-000;23-24;7.03;7.0121;0.0179
19. 13556-20QY-000;24-25;6.91;6.954;-0.044
21. 13556-02DW-000;21-22;6.4;6.4825;-0.0825
21. 13556-02DW-000;22-23;6.72;6.6643;0.0557
21. 13556-02DW-000;23-24;6.58;6.6713;-0.0913
21. 13556-02DW-000;24-25;6.74;6.6091;0.1309
22. 13556-20AJ-000;21-22;6.57;6.5545;0.0155
22. 13556-20AJ-000;22-23;6.62;6.7546;-0.1346
22. 13556-20AJ-000;23-24;6.85;6.763;0.087
22. 13556-20AJ-000;24-25;6.75;6.7032;0.0468
25. 41347-14WI-000;21-22;6.16;6.2404;-0.0804
25. 41347-14WI-000;22-23;6.22;6.4209;-0.2009
25. 41347-14WI-000;23-24;6.53;6.4149;0.1151
25. 41347-14WI-000;24-25;6.37;6.3651;0.0049
26. 13603-20DL-002;21-22;6.38;6.3629;0.0171
26. 13603-20DL-002;22-23;6.5;6.5717;-0.0717
26. 13603-20DL-002;23-24;6.37;6.5867;-0.2167
26. 13603-20DL-002;24-25;6.7;6.5126;0.1874
27. 42505-20DP-000;21-22;6.78;6.7297;0.0503
27. 42505-20DP-000;22-23;6.78;6.9203;-0.1403
27. 42505-20DP-000;23-24;6.96;6.917;0.043
27. 42505-20DP-000;24-25;6.85;6.8335;0.0165
27. 42505-30GD-000;21-22;6.93;6.7931;0.1369
27. 42505-30GD-000;22-23;7.04;6.9873;0.0527
27. 42505-30GD-000;23-24;6.98;7.0012;-0.0212
27. 42505-30GD-000;24-25;6.79;6.9115;-0.1215
28. 41211-17JY-000;21-22;6.45;6.5726;-0.1226
28. 41211-17JY-000;22-23;6.82;6.7656;0.0544
28. 41211-17JY-000;23-24;6.78;6.774;0.006
28. 41211-17JY-000;24-25;6.78;6.7035;0.0765
29. 41285-20CI-000;21-22;6.62;6.6252;-0.0052
29. 41285-20CI-000;22-23;6.89;6.8167;0.0733
29. 41285-20CI-000;23-24;6.8;6.8223;-0.0223
29. 41285-20CI-000;24-25;6.73;6.7528;-0.0228
30. 42992-02QO-000;21-22;6.24;6.2776;-0.0376
30. 42992-02QO-000;22-23;6.43;6.4676;-0.0376
30. 42992-02QO-000;23-24;6.55;6.4693;0.0807
30. 42992-02QO-000;24-25;6.24;6.3829;-0.1429
31. 41775-15SC-000;21-22;6.71;6.8293;-0.1193
31. 41775-15SC-000;22-23;7.25;7.0299;0.2201
31. 41775-15SC-000;23-24;7.1;7.0322;0.0678
31. 41775-15SC-000;24-25;6.95;6.9546;-0.0046
32. 20151-14QT-000;21-22;6.62;6.5311;0.0889
32. 20151-14QT-000;22-23;6.73;6.7273;0.0027
32. 20151-14QT-000;23-24;6.66;6.735;-0.075
32. 20151-14QT-000;24-25;6.7;6.6649;0.0351
33. 41568-20DC-000;21-22;6.34;6.2638;0.0762
33. 41568-20DC-000;22-23;6.55;6.4561;0.0939
33. 41568-20DC-000;23-24;6.34;6.4646;-0.1246
33. 41568-20DC-000;24-25;6.18;6.3744;-0.1944
35. 40094-16PA-000;21-22;6.89;6.8268;0.0632
35. 40094-16PA-000;22-23;7.08;7.0267;0.0533
35. 40094-16PA-000;23-24;6.95;7.0457;-0.0957
35. 40094-16PA-000;24-25;6.99;6.986;0.004
36. 41475-15JM-000;21-22;6.8;6.7725;0.0275
