Type data;tSchool;Schooljaar;Voorlopig definitief;Profiel;Examenkandidaten;Geslaagden;Gezakten;Slaagpercentage;tCentraal examen;tSchoolexamen;tCijferlijst;Percentiel slaag;Percentiel ce;Percentiel se
School;31. 41775-15SC-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;86;85;;99;7300000;6900000;7100000;80;83;33
School;35. 40094-16PA-000;23-24;Definitief;Cultuur en Maatschappij;30;24;6;80;6600000;6700000;6700000;12;51;56
School;35. 40094-16PA-000;23-24;Definitief;Economie en Maatschappij;8;8;0;100;6800000;6600000;6700000;76;79;76
School;35. 40094-16PA-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;39;35;;90;6900000;6900000;6900000;51;76;89
School;35. 40094-16PA-000;23-24;Definitief;Natuur en Gezondheid;33;28;5;85;6800000;6800000;6900000;38;94;98
School;35. 40094-16PA-000;23-24;Definitief;Natuur en Techniek;9;8;;89;7800000;7600000;7700000;12;97;95
School;35. 40094-16PA-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;35;33;;94;7300000;7200000;7300000;42;83;89
School;28. 41211-17JY-000;23-24;Definitief;Cultuur en Maatschappij;13;13;0;100;6700000;6800000;6900000;89;67;74
School;28. 41211-17JY-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;38;35;;92;6600000;6500000;6700000;60;43;23
School;28. 41211-17JY-000;23-24;Definitief;Natuur en Gezondheid;6;5;;83;6300000;6200000;6300000;31;33;21
School;28. 41211-17JY-000;23-24;Definitief;Natuur en Techniek;12;12;0;100;7400000;7300000;7400000;65;67;78
School;28. 41211-17JY-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;35;34;;97;6900000;6800000;7000000;65;19;13
School;45. 99048-19HV-000;23-24;Definitief;Cultuur en Maatschappij;14;9;5;64;6000000;6500000;6500000;4;1;28
School;45. 99048-19HV-000;23-24;Definitief;Economie en Maatschappij;23;17;6;74;6200000;6600000;6800000;3;12;76
School;45. 99048-19HV-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;6;;;;5900000;6400000;6600000;;1;10
School;45. 99048-19HV-000;23-24;Definitief;Natuur en Gezondheid;21;11;10;52;5700000;6200000;6300000;1;1;21
School;45. 99048-19HV-000;23-24;Definitief;Natuur en Techniek;10;10;0;100;6900000;7100000;7400000;65;19;67
School;45. 99048-19HV-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;20;19;;95;6700000;6900000;7100000;52;8;33
School;13. 41386-19ZU-000;23-24;Definitief;Cultuur en Maatschappij;12;10;;83;6500000;6700000;6800000;19;36;56
School;13. 41386-19ZU-000;23-24;Definitief;Economie en Maatschappij;14;11;;79;6200000;6200000;6300000;18;12;24
School;13. 41386-19ZU-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;20;17;;85;6500000;6600000;6700000;23;32;42
School;13. 41386-19ZU-000;23-24;Definitief;Natuur en Gezondheid;22;19;;86;6400000;6400000;6500000;45;46;48
School;13. 41386-19ZU-000;23-24;Definitief;Natuur en Techniek;6;;;;6600000;6800000;6900000;;2;31
School;13. 41386-19ZU-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;36;35;;97;7000000;6900000;7000000;65;31;33
School;01. 13652-20AA-000;23-24;Definitief;Cultuur en Maatschappij;11;10;;91;6400000;6500000;6500000;49;28;28
School;01. 13652-20AA-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;19;17;;89;6500000;6700000;6700000;45;32;63
School;01. 13652-20AA-000;23-24;Definitief;Natuur en Gezondheid;18;14;;78;6100000;6000000;6100000;16;10;1
School;01. 13652-20AA-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;44;43;;98;7200000;7100000;7200000;74;67;76
School;14. 41525-20AI-000;23-24;Definitief;Cultuur en Maatschappij;19;18;;95;6300000;6400000;6600000;69;21;14
School;14. 41525-20AI-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;21;20;;95;6700000;6700000;6900000;77;52;63
School;14. 41525-20AI-000;23-24;Definitief;Natuur en Gezondheid;40;26;14;65;6200000;6200000;6400000;9;21;21
School;14. 41525-20AI-000;23-24;Definitief;Natuur en Techniek;6;6;0;100;7600000;7400000;7600000;65;86;84
School;14. 41525-20AI-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;45;44;;98;6900000;6900000;7100000;74;19;33
School;22. 13556-20AJ-000;23-24;Definitief;Cultuur en Maatschappij;14;14;0;100;6700000;6700000;6800000;89;67;56
School;22. 13556-20AJ-000;23-24;Definitief;Economie en Maatschappij;7;6;;86;6400000;5800000;6200000;44;44;3
School;22. 13556-20AJ-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;37;30;7;81;6700000;6500000;6700000;11;52;23
School;22. 13556-20AJ-000;23-24;Definitief;Natuur en Gezondheid;16;16;0;100;6600000;6600000;6700000;88;70;80
School;22. 13556-20AJ-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;33;31;;94;7300000;7100000;7300000;42;83;76
School;17. 42510-20BV-000;23-24;Definitief;Cultuur en Maatschappij;22;22;0;100;6800000;6800000;6900000;89;77;74
School;17. 42510-20BV-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;22;19;;86;6500000;6500000;6600000;28;32;23
School;17. 42510-20BV-000;23-24;Definitief;Natuur en Gezondheid;39;32;7;82;6400000;6400000;6500000;29;46;48
School;17. 42510-20BV-000;23-24;Definitief;Natuur en Techniek;12;11;;92;7000000;6900000;7100000;22;33;42
School;17. 42510-20BV-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;43;40;;93;7100000;7100000;7200000;31;48;76
School;38. 42623-20CF-000;23-24;Definitief;Cultuur en Maatschappij;18;17;;94;6900000;6800000;6800000;62;85;74
School;38. 42623-20CF-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;33;30;;91;6600000;6400000;6600000;55;43;10
School;38. 42623-20CF-000;23-24;Definitief;Natuur en Gezondheid;11;11;0;100;6700000;6400000;6500000;88;84;48
School;38. 42623-20CF-000;23-24;Definitief;Natuur en Techniek;5;;;;6700000;6400000;6500000;;5;6
School;38. 42623-20CF-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;48;44;;92;7000000;6800000;6900000;21;31;13
School;29. 41285-20CI-000;23-24;Definitief;Cultuur en Maatschappij;15;15;0;100;6500000;6800000;6700000;89;36;74
School;29. 41285-20CI-000;23-24;Definitief;Economie en Maatschappij;12;10;;83;6300000;6300000;6400000;32;26;35
School;29. 41285-20CI-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;34;28;6;82;6500000;6700000;6600000;13;32;63
School;29. 41285-20CI-000;23-24;Definitief;Natuur en Gezondheid;29;27;;93;6500000;6500000;6600000;68;57;63
School;29. 41285-20CI-000;23-24;Definitief;Natuur en Techniek;8;8;0;100;7600000;7400000;7500000;65;86;84
School;29. 41285-20CI-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;63;62;;98;7200000;7100000;7200000;74;67;76
School;02. 41208-20CK-000;23-24;Definitief;Cultuur en Maatschappij;11;10;;91;6800000;6600000;6800000;49;77;44
School;02. 41208-20CK-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;23;22;;96;7300000;7000000;7200000;84;99;94
School;02. 41208-20CK-000;23-24;Definitief;Natuur en Gezondheid;13;11;;85;6400000;6100000;6300000;38;46;7
School;02. 41208-20CK-000;23-24;Definitief;Natuur en Techniek;6;5;;83;6900000;6900000;7000000;8;19;42
School;02. 41208-20CK-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;51;51;0;100;7300000;7000000;7200000;90;83;57
School;33. 41568-20DC-000;23-24;Definitief;Cultuur en Maatschappij;10;9;;90;6500000;6800000;6700000;42;36;74
School;33. 41568-20DC-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;21;16;5;76;6100000;6500000;6500000;4;6;23
School;33. 41568-20DC-000;23-24;Definitief;Natuur en Gezondheid;13;10;;77;6200000;6600000;6500000;14;21;80
School;33. 41568-20DC-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;33;28;5;85;6600000;7000000;6900000;2;2;57
School;23. 13749-20DD-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;34;33;;97;6700000;6500000;6700000;88;52;23
School;23. 13749-20DD-000;23-24;Definitief;Natuur en Gezondheid;16;14;;88;6600000;6200000;6400000;56;70;21
School;23. 13749-20DD-000;23-24;Definitief;Natuur en Techniek;27;27;0;100;7300000;7000000;7300000;65;64;56
School;23. 13749-20DD-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;70;65;5;93;6900000;6700000;6900000;31;19;6
School;37. 13556-20DG-000;23-24;Definitief;Cultuur en Maatschappij;9;5;;56;6100000;6100000;6300000;1;6;1
School;37. 13556-20DG-000;23-24;Definitief;Economie en Maatschappij;5;5;0;100;7200000;7200000;7200000;76;97;97
School;37. 13556-20DG-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;22;22;0;100;6900000;6600000;6800000;96;76;42
School;37. 13556-20DG-000;23-24;Definitief;Natuur en Gezondheid;8;7;;88;6300000;6100000;6400000;56;33;7
School;37. 13556-20DG-000;23-24;Definitief;Natuur en Techniek;17;16;;94;6900000;6500000;6800000;25;19;11
School;37. 13556-20DG-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;9;9;0;100;7100000;7000000;7100000;90;48;57
School;26. 13603-20DL-002;23-24;Definitief;Cultuur en Maatschappij;7;5;;71;6100000;6500000;6400000;7;6;28
School;26. 13603-20DL-002;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;40;35;5;88;6200000;6700000;6700000;39;10;63
School;26. 13603-20DL-002;23-24;Definitief;Natuur en Gezondheid;5;;;;6100000;6700000;6500000;;10;93
